album_id,genre
569QVlCMcFnDWpLG7aeWBA,
7Afwgk6IdC7UGJhyDkbrff,
0nayxjaX54Frd7GsZq6Pbs,
4yec2VewOzxBHjBgQ0yauV,
19X9Ts9AYIRrqthSTf3qss,
63IolVUykZCHMlu2zu9jHS,pop rap
4BbsHmXEghoPPevQjPnHXx,
0AGTYuKIZpklJih6pEmoWp,
6OICpu12IxSHbMp2E2R7q0,
1bWcE0tKOJgn4kgpNKSHU0,
3TMg3z1XaSKSgr7IGpLkmm,
4vxNYdHwi4uGsgYDHlKLVG,
18p7y4EZ6KczLQlgHWya1g,
7qOcM822LYEaTksCBUImpb,
1crd6n615exck4Z3KWfUyS,
0XKconI47eiBP6qPYHsx9f,
1vMVDUsMWaD5eB4oahCboP,
20llijrPaOy2qVivkSXuRB,
4WvcBQIZXspq4MYyEPNem2,
0AGTYuKIZpklJih6pEmoWp,
3BicSFhksEP3QHanmBM1Wd,
3iPSVi54hsacKKl1xIR2eH,
36P07bti6xD99o7S1acmin,
6mpTzL80F11TaeU79loRyJ,pop
5kvw1bAOvzJdNi4hdgfaNf,
4x6cjOcVz44aiLSOHCLKPd,
0zjGKouRkAN6Z9Y9CwuSqi,
5W2ZpWhrvHK0h68xiP7ajj,
3f6e4wXxxi4ahqWsSU7OpT,
3f6e4wXxxi4ahqWsSU7OpT,
33U85sBjvKsbCsYo5DeEUa,
64LU4c1nfjz1t4VnGhagcg,
3f6e4wXxxi4ahqWsSU7OpT,
3f6e4wXxxi4ahqWsSU7OpT,
0wJDZwjtG3Az0W585suocX,
5Fqjf9AmZPobGPRuyO2fJf,
68ishLKwqH5oH79kUteEHG,
3alugxsCI4YNroUiTHYqLN,
2NmIkHfuMdIdqJlu3LtxwU,trap
2lIZef4lzdvZkiiCzvPKj7,dance-pop
4n2Wo5AqL6FUuheNYGZI4f,
1f2q2JQ3GFwIrWch2JLC0u,
5WPTc1Xa8REVDQ5YazhNgv,
07w0rG5TETcyihsEIZR3qG,contemporary r&b
2NmIkHfuMdIdqJlu3LtxwU,trap
2v1Lb9hidHkvvlIXYzSmeZ,
2vHRMDYWkdjZLRsLD4l76m,trap
6PbnGueEO6LGodPfvNldYf,
0FzWvaeMBfKBCqxHTLVlB8,
5U20AVSsUvycGtWip4XQfo,
3IQfOGGUJfBkWIgXzLaub9,
07J7Q3Z7V00LvCxqzVqj9s,
6izHNYgyKzGdRpYwtYFaaG,
3f6e4wXxxi4ahqWsSU7OpT,
3f6e4wXxxi4ahqWsSU7OpT,
4LVNTAzkG26XlODcRP0v4b,
6neohHPB8tUq8yVM7sacBh,
