album_id,genre
58XIBpQOAw7E2qCL1jxWCd,southern hip hop
27GWSFRITD8JJcSGMgEfTN,
2qQP2NgOoH6HqknnbpJmIk,rock
21lmM75p1hAslaBnuHAaJs,trap
6UwxCr559vsWAmVC6WkrI3,hip hop
5oR5JuHZV4Yz7XvvBJHOCt,country
4GmGKpnp0wcQ4xrE3reMRg,hip hop
4ecjQGViGCD4snnZ3QJOEL,reggaeton
4AobWNA72kqOymcHxjhQb7,
4XXTsu7r9865VvXdvF2iQP,folk
52BWvTRMsPqjHzrbQomgwP,pop
5qt0joCyuLr749sTUbyH8F,hip hop
4o57W8cMFiKf2NVbGSE9jH,
0FVH9WJPHicjhOLfsPpnxL,
03guxdOi12XJbnvxvxbpwG,
2mKcYIgv7ItYDQXke3uprl,reggaeton
4csGSJBfWDrWklYInvXzhU,
1bWcE0tKOJgn4kgpNKSHU0,banda
7H5STZn8rbg58X1Q69Rifk,
2GWbJqFPEi1FGC9DnBRbk1,hip hop
2L5fQG5lbyMkG6iyNNj3uR,
4yUqNSK6jMi7Y6eWl03U5r,
4NNAc6EF4agYuWUqZ5OZr0,
57wh3BpvUF2tmvwoGSjUe3,hip hop
2pQBZM3cwyDQROzSBuMGvw,hip hop
0GHlPN101r1WcuQCwINbI2,
2aWJw4wM4FuXfZPoOGcg3i,
3b80v2noU4EEZmCefjinoO,hip hop
3sRyLQf04m9vm40JNRFiCl,
6P8euK0BjgTqallJTGoJTX,
2gofZasmvwfD1dkgQPORTW,
6UwxCr559vsWAmVC6WkrI3,hip hop
5MqrNKRQ1OjwtSiXjrzkjy,
6kAsgfuulBOuyYLytWX7e2,k-pop
5kvw1bAOvzJdNi4hdgfaNf,latin trap
5kvw1bAOvzJdNi4hdgfaNf,latin trap
6u3h6zlq9gplaFbWkABa0d,
7I7rbWQoLZ7PrTMsRfocpL,dance-pop
1Hcfqz0pRk7ph2svhIcnKC,drill
4csPGLYTb7kt85U377UCuC,soft rock
5TT8KluomuelzsNF7T1U37,reggaeton
3jxt1S4JtW4uFalBwlfehS,pop
7v4sqd0NZ9Fm8HnwCcCGIs,
2weOG4ZiOjfxiuFMsHm9JQ,
0XwVkzDyxfDSiWzBtVKn0K,hip hop
1KFWgQTw3EMTQebaaepVBI,pop rock
30H0cGghxhBJ93v4h28XEt,pop
2giuHTYPbL8hSugmqDcvAz,
7d4MwwVvFzXP5E40oaw94J,country rap
7wIIhHPyaxAHRvdNQQO2G9,k-pop
6TFqEha8tfihUzdi5LQXzu,
2Bj8SpPipT3Q48N6vkBUlc,
3fonA82Hl7huJiQCwKkzGA,latin pop
2pEZkJlkzLMBXPUPWyQJxn,country
5fTud1jSzcTEwm7I0j4BTu,country
2kJunH6dfHcjJa0lxZbRKr,hip hop
5SxZmGwc4eJuPp6PcO4JgJ,folk
6VA6WgquH5zBIfIDz5IMKb,hip hop
4jrP67zEPygoCd90h6vMHr,rap metal
0somiwdLc587aSOGWsJhTi,contemporary r&b
3Su6Sgi0YjcUFuCzjLKYYq,alternative metal
58iEeJbYd6OBGRM0TiwltL,rage
2HQzboxa5GyWpk2aiPP5i6,reggaeton
5PsQkSZdGgr9jnuSKzSi5s,pop
08J0usmnyEIpNH9GEtTk5p,
5SGtrmYbIo0Dsg4kJ4qjM6,pop
5dH89SWty2zwQkpLtPI2Lv,contemporary r&b
7A2rFcb97EUFcBI0RGhjgc,country
1KFWgQTw3EMTQebaaepVBI,pop rock
5r4bE2O6LCLBTjT42RBXwg,hip hop
71d88dx1lqVtzHh1bxz9VK,hip hop
70juF5u8ay9fGv78N0BEzE,trap
4PyoZjkXt1en5EM6LBf8sA,pop
3aaVxygUPKEQMIpXPgAUrJ,pop
4ulbgdzzSPhT7HEmUWfUPG,
5SGtrmYbIo0Dsg4kJ4qjM6,pop
4peDphjWdwzhrTEnQbfZ4G,
3zYGFehwRL2X8Q757ZhJDX,
4C23ofFqNhsaAEkThw2yRB,alternative pop
5pQs8l0kyftlASrbXp0KU3,country
3udGZ4POJcLvk9DfN2KoS4,
5glJE1IDthPVklvDyEVqfL,hip hop
5JNF1AS6WH5J7yUXmU4Syi,
6k4sB6SP3ekH3iIhaDuUV4,hip hop
1HSW0KtusVmitWsZGhjaJB,
46LE2xR4e92aVvo1QlUiS3,
3tKHDHYrbcCFDC1yDeLOx2,
2qwv7hNjSGfLarHY2adeq9,
