"album_id","album_name","artist_name"
"5Fqjf9AmZPobGPRuyO2fJf","Según Quién","Maluma"
"3alugxsCI4YNroUiTHYqLN","LA PATRULLA","Peso Pluma"
"5WPTc1Xa8REVDQ5YazhNgv","Dolido Pero No Arrepentido","Fuerza Regida"
"0FzWvaeMBfKBCqxHTLVlB8","MEGAN","Megan Thee Stallion"
"5U20AVSsUvycGtWip4XQfo","ORQUÍDEAS","Kali Uchis"
"3IQfOGGUJfBkWIgXzLaub9","Back Then Right Now","Tyler Hubbard"
"07J7Q3Z7V00LvCxqzVqj9s","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)","Olivia Rodrigo"
"4LVNTAzkG26XlODcRP0v4b","Hell N Back (feat. Summer Walker)","Bakar"
"6neohHPB8tUq8yVM7sacBh","Outskirts","Sam Hunt"
"7bH39Zpsu3XwyTSnZ36nmk","Family Matters","Drake"
"4tU0FNnuiBD1P6IRTARHww","Lonely Road (with Jelly Roll)","mgk"
"2kJbSNF5JDzEOwYuqNc5PQ","Bigger Houses","Dan + Shay"
"06me0leRR3AuF4IFiEytml","Push Ups","Drake"
"32Gv2KwfKu35P5r77bmxzi","ONE CALL","Rich Amiri"
"3KhdXmuYsUQZUtd16wVJIE","Love You, Miss You, Mean It","Luke Bryan"
"4MiiGc86pG5wWTrvHwXecp","Glockoma 2 (Deluxe)","Key Glock"
"1FkgWqBfOH8VaaiG8PRGxX","Different 'Round Here","Riley Green"
"7lUEiaMZBxdemzqieZw2jx","Can't Have Mine (Find You A Girl)","Dylan Scott"
"2J21ZVDlD1JjxR94V18xfY","Faith Of A Mustard Seed","Mustard"
"5q3jthpn2h59P7pe2gmAl7","You're Losing Me (From The Vault)","Taylor Swift"
"68CN2LzY8MoxO2udy2C22e","Sailor Song","Gigi Perez"
"3YJeGDPwWmpqxm5xlIqjO8","Whirlwind","Lainey Wilson"
"0TxewlKVKdpP18dGg279ep","Love Somebody","Morgan Wallen"
"140NIeh2n6kSX9BHAsvlwy","Home","Good Neighbours"
"062urW4KS66GPlEHIueefz","After Hours","Kehlani"
"5pSk3c3wVwnb2arb6ohCPU","GOLDEN","Jung Kook"
"0WHY8JAMmQpVtFn7rhqjkM","Timeless","The Weeknd"
"5c5a2dLd2qLVN5zlaOcKJQ","Coal","Dylan Gossett"
"3iPSVi54hsacKKl1xIR2eH","Short n' Sweet","Sabrina Carpenter"
"5XmOFWhZEZBR6VlQvs6dfR","hummingbird","Carly Pearce"
"7KeJ1PRu1es5oQyeM9kzlV","Northern Attitude (with Hozier)","Noah Kahan"
"5qfivA7g2aAhAIPnSb0csp","It's ok I'm ok","Tate McRae"
"2IYQwwgxgOIn7t3iF6ufFD","APT.","ROSÉ"
"0CvhgTLytPcvNQ8IpMHRwL","11:11","Chris Brown"
"5XsZ5ZTcIHnZxjynaGxA0g","Dancing In The Flames","The Weeknd"
"1NEBms3ay8CUHTUzD7wzHO","Think U The Shit (Fart)","Ice Spice"
"17R63Sb8OrPikc2R4mlpdC","GIRLS","The Kid LAROI"
"0S8DGX9LmBkRSVi3ywcCOT","Tell Ur Girlfriend","Lay Bankz"
"5PGH88Cwual1Nj8d2RsKP0","meet the grahams","Kendrick Lamar"
"0XA403JTounqFh2owquBXu","Diet Pepsi","Addison Rae"
"4GmGKpnp0wcQ4xrE3reMRg","100 GIGS","Drake"
"2SCppOPkT7XTKBJV2XIQUw","Highway Desperado","Jason Aldean"
"7aA68voNG6hXgSf7tTQvxS","WORTH IT (feat. Don Toliver)","Offset"
"2Hg5u4WLNI85GHVISRXMna","Born","Kenny Chesney"
"7ce3IkZzM0jPo2KfB7iDVU","The Secret of Us (Deluxe)","Gracie Abrams"
"3XTwGtmHpkQpkQOTT5wPeH","OKAY","JT"
"3ESmtTRJZkIjPShkV48tdL","Too Slippery","BossMan Dlow"
"389w7hzxpiOmpGEWFCNEoP","Holy Smokes","Bailey Zimmerman"
"5onhEG8O3aKdg9b4lIdkNz","11:11 (Deluxe)","Chris Brown"
"7f1uY6RHAj9voSkbPyMlFm","Did It First (with Central Cee)","Ice Spice"
"65TLpR9CjyYqBL8Os2pmlY","ALL RED","Playboi Carti"
"43B3jBId7ncqX8QJprStsV","Last Lap","Rod Wave"
"3qBWNcWifNhUKJAWzswdJY","Stick Season (Forever)","Noah Kahan"
"58XIBpQOAw7E2qCL1jxWCd","Tough","Quavo"
"27GWSFRITD8JJcSGMgEfTN","INCÓMODO","Tito Double P"
"2qQP2NgOoH6HqknnbpJmIk","Now And Then","The Beatles"
"21lmM75p1hAslaBnuHAaJs","Hollon","GloRilla"
"6UwxCr559vsWAmVC6WkrI3","WE STILL DON'T TRUST YOU","Future"
"5oR5JuHZV4Yz7XvvBJHOCt","The Man He Sees in Me","Luke Combs"
"4GmGKpnp0wcQ4xrE3reMRg","100 GIGS","Drake"
"4ecjQGViGCD4snnZ3QJOEL","SI NO ES CONTIGO","Cris MJ"
"4AobWNA72kqOymcHxjhQb7","Alibi (with Pabllo Vittar & Yseult)","Sevdaliza"
"4XXTsu7r9865VvXdvF2iQP","The Secret of Us","Gracie Abrams"
"52BWvTRMsPqjHzrbQomgwP","Disease","Lady Gaga"
"5qt0joCyuLr749sTUbyH8F","Like What (Freestyle)","Cardi B"
"4o57W8cMFiKf2NVbGSE9jH","Thick Of It (feat. Trippie Redd) / Low","KSI"
"0FVH9WJPHicjhOLfsPpnxL","Mind On You","George Birge"
"03guxdOi12XJbnvxvxbpwG","Submarine","The Marías"
"2mKcYIgv7ItYDQXke3uprl","CONTIGO (with Tiësto)","KAROL G"
"4csGSJBfWDrWklYInvXzhU","Cowboys Cry Too (with Noah Kahan)","Kelsea Ballerini"
"1bWcE0tKOJgn4kgpNKSHU0","NEXT","Xavi"
"7H5STZn8rbg58X1Q69Rifk","shot in the dark","Ashley Cooke"
"2GWbJqFPEi1FGC9DnBRbk1","Lace It (with Eminem & benny blanco)","Juice WRLD"
"2L5fQG5lbyMkG6iyNNj3uR","Texas Technician","That Mexican OT"
"4yUqNSK6jMi7Y6eWl03U5r","Bando Stone and The New World","Childish Gambino"
