album_id,genre
493HYe7N5pleudEZRyhE7R,contemporary r&b
6ciIG1XKTlVIn0Yl8rvsce,drill
5aDEezKnOqyQo0qvTFhpkM,regional mexican
1fnJ7k0bllNfL1kVdNVW1A,dream pop
2ua5bFkZLZl1lIgKWtYZIz,hip hop
6FJxoadUE4JNVwWHghBwnb,pop
1xJHno7SmdVtZAtXbdbDZp,pop rock
5qmZefgh78fN3jsyPPlvuw,hip hop
1fnJ7k0bllNfL1kVdNVW1A,dream pop
3LnOoljW00eYKDbBD88eLJ,pop
2v1Lb9hidHkvvlIXYzSmeZ,country
0BaIaHcyBXuOWeM4Aas4EW,
5Uly85dJHHDfHQCsyUQ8gw,country
6i7mF7whyRJuLJ4ogbH2wh,country pop
7txGsnDSqVMoRl6RQ9XyZP,trap
3Ks0eeH0GWpY4AU20D5HPD,indie rock
6aBVGuOUEuX18rHxyDWbti,
69AaAkdktFGnk9POmHENkT,
19DGbjQW4oJmS1TLmr7OH3,country
5MS3MvWHJ3lOZPLiMxzOU6,hip hop
5letLUZIFsQikJYShfGNs4,
67WUCOjyl44d8fAFzHONjW,hip hop
0BaIaHcyBXuOWeM4Aas4EW,
6izHNYgyKzGdRpYwtYFaaG,country
3U8n8LzBx2o9gYXvvNq4uH,
5i9lMMUZ1QZNsLEE3j50kT,cumbia
6BUPtXbb2tspYnkVdg5Ef7,
07w0rG5TETcyihsEIZR3qG,pop
6DmPNcfpkXBVRJsEIJY9tl,pop
4LVa9bljQRvLYpWr8qyaXs,bubblegum
6Oynwy3OABCiAqN9w9UqBN,country
61ulfFSmmxMhc2wCdmdMkN,hip hop
6i7mF7whyRJuLJ4ogbH2wh,country pop
6r1lh7fHMB499vGKtIyJLy,pop
06q6BDUpP6OS8Xnx3YC2M0,country
1m9DVgV0kEBiVZ4ElhJEte,country
34wa3zf2prXFMk47t9zHFG,
2S3Q7phoa4bZEijkTRYaLu,country
6NcI39WPu4kY6Tul11nhSv,
06RK0wX4GqHcxBtHlVoGH5,pop
2WFFcvzM0CgLaSq4MSkyZk,pop
4kS7bSuU0Jm9LYMosFU2x5,reggaeton
2SCppOPkT7XTKBJV2XIQUw,country rock
5DFed53ADZwnPOYuqoZJHK,country
3wivyOdotHWZ9dcuXMjPKT,
2Q7WBQ794rA9ISPLfqdKjK,hip hop
1kLWQJYzHP0kX6peGevMkC,trap
6MvKUOSuPdfH0WLeQjR3eR,
4FftCsAcXXD1nFO9RFUNFO,latin trap
7JH7pr10sJV9caUhk3ORyK,banda
6PbnGueEO6LGodPfvNldYf,country rock
3HHNR44YbP7XogMVwzbodx,pop
1O9xrX782LqLx4Z60528Ih,pop
07w0rG5TETcyihsEIZR3qG,pop
02X1cQOUcwYPxgFfqHeitI,
0h5MuD9O9o1VoN07mQmwMQ,hip hop
3qBWNcWifNhUKJAWzswdJY,folk
0BaIaHcyBXuOWeM4Aas4EW,
5pSk3c3wVwnb2arb6ohCPU,pop
6tE9Dnp2zInFij4jKssysL,trap
1iq5Vk9BsERGNNw7NGIpD4,pop
4i3ay5RKpdmJok8zazCdlf,red dirt
6USJaTtVIy0YH5hhzOWVHe,electro
3PUA3xAHTsDAp11oAb33Mv,country
6uk3hBYbrMsSzufADPjv9K,trap
7dfTBn7wtgKEchVmyipBl1,country
4jox3ip1I39DFC2B7R5qLH,electro
6izHNYgyKzGdRpYwtYFaaG,country
6i7mF7whyRJuLJ4ogbH2wh,country pop
6nIkyQ0HO6MDucznnn8DXi,
1UbeEAPS49eulB659XSU9g,
6i7mF7whyRJuLJ4ogbH2wh,country pop
1gi2iwr1l8IUyHYHxi01pg,
18NOKLkZETa4sWwLMIm0UZ,hip hop
4A43tzEN3jILvseI1HeXGG,pop rap
5maeycU97NHBgwRr2h2A4O,dance-pop
06q6BDUpP6OS8Xnx3YC2M0,country
69K1zrf6TkXHdYUO8n2qVi,
5r36AJ6VOJtp00oxSkBZ5h,new wave
576UTio7xgY7YUxrHMzxeI,pop
