album_id,album_name,label,external_link,album_image,artist_name,genre
6BzxX6zkDsYKFJ04ziU5xQ,COWBOY CARTER,Parkwood Entertainment/Columbia,https://open.spotify.com/album/6BzxX6zkDsYKFJ04ziU5xQ,https://i.scdn.co/image/ab67616d0000b2731572698fff8a1db257a53599,Beyoncé,pop
1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],Taylor Swift,https://open.spotify.com/album/1o59UpKw81iHR0HPiSkJR0,https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,Taylor Swift,synthpop
3UPTShNGcVewuV8nSxIMYY,The High Road,Sony Music Nashville,https://open.spotify.com/album/3UPTShNGcVewuV8nSxIMYY,https://i.scdn.co/image/ab67616d0000b273ffe127ba1031045a1356e5c1,Kane Brown,country
5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,Taylor Swift,folk pop
4BnCr0behKaGscMMhpiHX7,That Ain't No Man That's The Devil,Columbia,https://open.spotify.com/album/4BnCr0behKaGscMMhpiHX7,https://i.scdn.co/image/ab67616d0000b273fde00a1444ea8c3ff01d4547,Jessie Murph,pop
2Z3lIfc06B7YV1ZN9oZCdS,Twisters: The Album,Atlantic Records,https://open.spotify.com/album/2Z3lIfc06B7YV1ZN9oZCdS,https://i.scdn.co/image/ab67616d0000b273c6014d8a07fe953fcae5a3ff,Various Artists,
0v9QGZDE2msGl8zAlXKP93,VULTURES 1,Ye,https://open.spotify.com/album/0v9QGZDE2msGl8zAlXKP93,https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a,¥$,trap
31hcgCSu4mlA82syOFItur,The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition,Shady/Aftermath/Interscope Records,https://open.spotify.com/album/31hcgCSu4mlA82syOFItur,https://i.scdn.co/image/ab67616d0000b273333c01a0f55915549caf5623,Eminem,hip hop
0SW0LplxFID1otCk4bhhHI,Ehhthang Ehhthang,CMG/Interscope Records,https://open.spotify.com/album/0SW0LplxFID1otCk4bhhHI,https://i.scdn.co/image/ab67616d0000b273bd9951bb4c9813bc540bde1d,GloRilla,hip hop
168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,"Night Street Records, Inc./Warner Records Inc.",https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,Benson Boone,pop rock
2RRYaYHY7fIIdvFlvgb5vq,american dream,"Slaughter Gang, LLC/Epic Records",https://open.spotify.com/album/2RRYaYHY7fIIdvFlvgb5vq,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,21 Savage,trap
1Mo92916G2mmG7ajpmSVrc,Radical Optimism,Warner Records,https://open.spotify.com/album/1Mo92916G2mmG7ajpmSVrc,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1,Dua Lipa,dance-pop
