artist_id,artist_name,external_link,artist_image
7dGJo4pcD2V6oG8kP0tJRR,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
2qoQgPAilErOKCwE2Y8wOG,GloRilla,https://open.spotify.com/artist/2qoQgPAilErOKCwE2Y8wOG,https://i.scdn.co/image/ab6761610000e5ebc33cf3ad025517202d8efbc0
22wbnEMDvgVIAGdFeek6ET,Benson Boone,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET,https://i.scdn.co/image/ab6761610000e5ebb68234e1a673acc3d873d3e6
1URnnhqYAYcrqrcwql10ft,21 Savage,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d
2qoQgPAilErOKCwE2Y8wOG,GloRilla,https://open.spotify.com/artist/2qoQgPAilErOKCwE2Y8wOG,https://i.scdn.co/image/ab6761610000e5ebc33cf3ad025517202d8efbc0
3TVXtAsR1Inumwj472S9r4,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
5p9HO3XC5P3BLxJs5Mtrhm,Djo,https://open.spotify.com/artist/5p9HO3XC5P3BLxJs5Mtrhm,https://i.scdn.co/image/ab6761610000e5eb4113d395582d3667b7978430
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
08PvCOlef4xdOr20jFSTPd,Flo Milli,https://open.spotify.com/artist/08PvCOlef4xdOr20jFSTPd,https://i.scdn.co/image/ab6761610000e5eb2dd4342359c7b3aca2bca63c
1RyvyyTE3xzB2ZywiAwp0i,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07
